price,score,name,link
24.95,89,Santa Barbara Winery Pinot Noir 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/santa-barbara-winery-pinot-noir-2015-548727
31.25,91,Argot Motifs Chardonnay 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/argot-motifs-chardonnay-2015-548818
13.95,90,Monte da Ravasqueira MR Clássico 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/monte-da-ravasqueira-mr-cl%C3%A1ssico-2018-548842
49.00,96,Gini Contrada Salvarenza Vecchie Vigne Soave Classico 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/gini-contrada-salvarenza-vecchie-vigne-soave-classico-2016-549592
114.00,95,Jeff Cohn Cellars Domaine des Chirats Rockpile Vineyard Syrah 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/jeff-cohn-cellars-domaine-des-chirats-rockpile-vineyard-syrah-2014-554238
11.25,92,La Posta Tinto 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-posta-tinto-2016-555789
47.00,91,Pascal Jolivet Le Chêne Marchand Sancerre 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pascal-jolivet-le-ch%C3%AAne-marchand-sancerre-2015-560326
26.95,96,Watershed Senses Chardonnay 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/watershed-senses-chardonnay-2016-570150
17.95,90,Castelli del Grevepesa Castelgreve Chianti Classico 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/castelli-del-grevepesa-castelgreve-chianti-classico-2016-573485
19.95,89,Viticcio Morellino di Scansano 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/viticcio-morellino-di-scansano-2016-574186
99.95,94,Galerie Latro Cabernet Sauvignon 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/galerie-latro-cabernet-sauvignon-2014-574459
42.95,97,Nativ Bicento Irpinia Campi Taurasini 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/nativ-bicento-irpinia-campi-taurasini-2016-575035
80.00,95,Château La Cabanne 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-la-cabanne-2015-578732
44.95,91,Michele Chiarlo Tortoniano Barolo 2012,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/michele-chiarlo-tortoniano-barolo-2012-586388
313.00,90,Masi Costasera Amarone della Valpolicella Classico 1990,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/masi-costasera-amarone-della-valpolicella-classico-1990-594895
